,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Year,Month,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
229705,Person search,0.0,,51.510051,-0.133971,Male,18-24,Mixed - Any other Mixed ethnic background (M9),Other,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.133971 51.510051),5399.0,5400.0,E01004736,Westminster 018C,24862.0,8.0,3073166.35762024,11771.4038600084,E01004736
229763,Person and Vehicle search,0.0,,51.593794,-0.172568,Male,18-24,Mixed - Any other Mixed ethnic background (M9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.172568 51.593794),180.0,181.0,E01000185,Barnet 029F,10299.0,4.0,307962.092651367,3030.57575602458,E01000185
229881,Person search,0.0,,51.556858,-0.140827,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.140827 51.556858),910.0,911.0,E01000928,Camden 003E,14085.0,5.0,659436.832366943,5852.83070591766,E01000928
229935,Person and Vehicle search,0.0,,51.66533,-0.063813,Male,18-24,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.063813 51.66533),2279.0,2280.0,E01001410,Enfield 005C,2967.0,1.0,410037.016613007,4282.99962317981,E01001410
229965,Person search,0.0,,51.540531,0.051069,Male,over 34,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.051069 51.540531),4244.0,4245.0,E01003531,Newham 010C,8410.0,3.0,578243.395799637,3643.72454843253,E01003531
230084,Person search,0.0,,51.617264,-0.064819,Male,18-24,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.064819 51.617264),2294.0,2295.0,E01001425,Enfield 027B,2455.0,1.0,1041247.87098694,5385.14552638598,E01001425
230086,Person and Vehicle search,0.0,,51.51857,-0.358517,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.358517 51.51857),2091.0,2092.0,E01001220,Ealing 029B,2523.0,1.0,2421006.44456482,11088.4311273632,E01001220
230087,Person search,0.0,,51.371766,-0.08345,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.08345 51.371766),1917.0,1918.0,E01001046,Croydon 023B,24801.0,8.0,502276.856624603,3904.90761191069,E01001046
230146,Person search,0.0,,51.525851,-0.055882,Male,18-24,Not Stated (NS),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.055882 51.525851),4896.0,4897.0,E01004212,Tower Hamlets 011D,10838.0,4.0,218468.173412323,2805.21633313609,E01004212
230168,Person search,0.0,,51.537664,0.035468,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (0.035468 51.537664),4279.0,4280.0,E01003566,Newham 014D,7833.0,3.0,255821.847309113,2545.4435281973,E01003566
230212,Person search,0.0,,51.541608,0.003845,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.003845 51.541608),4328.0,4329.0,E01003619,Newham 012D,5784.0,2.0,657874.253228188,4964.73666160115,E01003619
230270,Person search,0.0,,51.508956,-0.018931,Male,18-24,Asian or Asian British - Bangladeshi (A3),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.018931 51.508956),4937.0,4938.0,E01004256,Tower Hamlets 024C,5676.0,2.0,366068.608507156,3666.98689729489,E01004256
230271,Person search,0.0,,51.508956,-0.018931,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.018931 51.508956),4937.0,4938.0,E01004256,Tower Hamlets 024C,5676.0,2.0,366068.608507156,3666.98689729489,E01004256
230371,Person and Vehicle search,0.0,,51.423696,-0.13004,Male,18-24,Not Stated (NS),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.13004 51.423696),3872.0,3873.0,E01003150,Lambeth 032F,9888.0,4.0,421928.223152161,3201.95117857023,E01003150
230374,Person search,0.0,,51.508486,-0.197787,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.197787 51.508486),1768.0,1769.0,E01002828,Kensington and Chelsea 008E,17715.0,6.0,250452.608718872,2255.33003232278,E01002828
