,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Further_outcome,Year,Month,season,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
990857,Person search,0.0,,51.5833,-0.22296,Male,,Other ethnic group - Not stated,Asian,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
990875,Person search,0.0,,51.583129,-0.22353,Male,,Other ethnic group - Any other ethnic group,Other,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.22353 51.583129),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
990958,Person and Vehicle search,0.0,,51.581257,-0.215116,Male,over 34,White - Any other White background,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.215116 51.581257),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
990959,Person and Vehicle search,0.0,,51.581257,-0.215116,Male,25-34,White - Any other White background,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.215116 51.581257),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
990960,Person and Vehicle search,0.0,,51.581257,-0.215116,Male,18-24,White - Any other White background,White,Controlled drugs,Arrest,,,1,2020,8,2,POINT (-0.215116 51.581257),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
991721,Person and Vehicle search,0.0,,51.585631,-0.230794,Male,25-34,Other ethnic group - Any other ethnic group,Other,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
991782,Person search,0.0,,51.585631,-0.230794,Male,,Other ethnic group - Not stated,Black,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
992134,Person and Vehicle search,0.0,,51.586228,-0.220926,Male,18-24,Asian/Asian British - Any other Asian background,Other,Controlled drugs,Penalty Notice for Disorder,,,1,2020,8,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
992220,Person search,0.0,,51.588629,-0.222117,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.222117 51.588629),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
992224,Person and Vehicle search,0.0,,51.590288,-0.22123,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Controlled drugs,Arrest,,,1,2020,8,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
