,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Further_outcome,Year,Month,season,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
280439,Person and Vehicle search,0.0,,51.588806,-0.208353,Male,18-24,Asian/Asian British - Indian,Asian,Controlled drugs,Suspect arrested,,,1,2017,5,2,POINT (-0.208353 51.588806),233.0,234.0,E01000238,Barnet 034B,19485.0,6.0,565153.465118408,4129.99939104607,E01000238
280878,Person search,0.0,,51.590942,-0.218115,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.218115 51.590942),237.0,238.0,E01000242,Barnet 032B,15111.0,5.0,714757.449935913,4001.55201576834,E01000242
281498,Person and Vehicle search,0.0,,51.586767,-0.210858,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.210858 51.586767),231.0,232.0,E01000236,Barnet 034A,23808.0,8.0,589603.116470337,3638.41217587178,E01000236
281747,Person search,0.0,,51.590211,-0.223225,Male,18-24,Other ethnic group - Not stated,Asian,Controlled drugs,Suspect arrested,,,1,2017,5,2,POINT (-0.223225 51.590211),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
281760,Person and Vehicle search,0.0,,51.590709,-0.228821,Male,,Other ethnic group - Not stated,Black,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.228821 51.590709),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
283388,Person and Vehicle search,0.0,,51.588795,-0.209956,Male,25-34,White - Any other White background,White,Controlled drugs,Offender given drugs possession warning,,,1,2017,5,2,POINT (-0.209956 51.588795),233.0,234.0,E01000238,Barnet 034B,19485.0,6.0,565153.465118408,4129.99939104607,E01000238
283395,Person and Vehicle search,0.0,,51.588795,-0.209956,Female,25-34,White - Any other White background,White,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.209956 51.588795),233.0,234.0,E01000238,Barnet 034B,19485.0,6.0,565153.465118408,4129.99939104607,E01000238
283406,Person and Vehicle search,0.0,,51.588795,-0.209956,Male,25-34,Other ethnic group - Not stated,White,Controlled drugs,Offender given drugs possession warning,,,1,2017,5,2,POINT (-0.209956 51.588795),233.0,234.0,E01000238,Barnet 034B,19485.0,6.0,565153.465118408,4129.99939104607,E01000238
283473,Person and Vehicle search,0.0,,51.580022,-0.233364,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.233364 51.580022),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
283475,Person search,0.0,,51.580022,-0.233364,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.233364 51.580022),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
283479,Person search,0.0,,51.576637,-0.239038,Male,18-24,Asian/Asian British - Any other Asian background,Black,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
283480,Person search,0.0,,51.576637,-0.239038,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
283481,Person search,0.0,,51.580224,-0.243186,Male,10-17,White - Any other White background,White,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.243186 51.580224),308.0,309.0,E01000313,Barnet 036F,14409.0,5.0,561841.417999268,5210.28681705047,E01000313
284369,Person and Vehicle search,0.0,,51.585155,-0.219525,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.219525 51.585155),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
284370,Person and Vehicle search,0.0,,51.585155,-0.219525,Male,10-17,White - Any other White background,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.219525 51.585155),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
284371,Person search,0.0,,51.585155,-0.219525,Male,,White - Any other White background,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.219525 51.585155),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
284500,Person and Vehicle search,0.0,,51.586228,-0.220926,Male,25-34,White - Any other White background,White,Controlled drugs,Offender given drugs possession warning,,,1,2017,5,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
284655,Person search,0.0,,51.575385,-0.220426,Male,,Other ethnic group - Not stated,Asian,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.220426 51.575385),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
284777,Person and Vehicle search,0.0,,51.582939,-0.22703,Male,18-24,Other ethnic group - Any other ethnic group,Asian,Articles for use in criminal damage,Suspect arrested,,,1,2017,5,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
285170,Person and Vehicle search,0.0,,51.601192,-0.234045,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
285171,Person search,0.0,,51.601192,-0.234045,Female,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
285471,Person search,0.0,,51.590288,-0.22123,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
286215,Person search,0.0,,51.590288,-0.22123,Male,10-17,Black/African/Caribbean/Black British - African,Black,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
286231,Person search,0.0,,51.586228,-0.220926,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Controlled drugs,Offender given drugs possession warning,,,1,2017,5,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
287103,Person search,0.0,,51.5833,-0.22296,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Offender given drugs possession warning,,,1,2017,5,2,POINT (-0.22296 51.5833),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
287543,Person search,0.0,,51.586228,-0.220926,Male,10-17,Black/African/Caribbean/Black British - African,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
287556,Person search,0.0,,51.586228,-0.220926,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
288327,Person search,0.0,,51.574388,-0.227074,Male,,Other ethnic group - Not stated,Asian,Controlled drugs,Nothing found - no further action,,,0,2017,5,2,POINT (-0.227074 51.574388),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
288333,Person search,0.0,,51.574388,-0.227074,Male,18-24,Asian/Asian British - Indian,Asian,Controlled drugs,Offender given drugs possession warning,,,1,2017,5,2,POINT (-0.227074 51.574388),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
288904,Person search,0.0,,51.57721,-0.240718,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Black,Controlled drugs,Offender given drugs possession warning,,,1,2017,5,2,POINT (-0.240718 51.57721),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
290027,Person search,0.0,,51.57374,-0.238948,Male,18-24,White - Irish,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,5,2,POINT (-0.238948 51.57374),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
290806,Person search,0.0,,51.585631,-0.230794,Female,18-24,Asian/Asian British - Pakistani,Asian,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
290808,Person search,0.0,,51.585631,-0.230794,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
291442,Person and Vehicle search,0.0,,51.586767,-0.210858,Male,25-34,Asian/Asian British - Pakistani,Asian,Controlled drugs,Suspect arrested,,,1,2017,6,2,POINT (-0.210858 51.586767),231.0,232.0,E01000236,Barnet 034A,23808.0,8.0,589603.116470337,3638.41217587178,E01000236
291445,Person and Vehicle search,0.0,,51.586767,-0.210858,Male,25-34,Asian/Asian British - Pakistani,Asian,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.210858 51.586767),231.0,232.0,E01000236,Barnet 034A,23808.0,8.0,589603.116470337,3638.41217587178,E01000236
291491,Person and Vehicle search,0.0,,51.590709,-0.228821,Male,18-24,White - Any other White background,White,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.228821 51.590709),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
291492,Person and Vehicle search,0.0,,51.590709,-0.228821,Male,25-34,White - Any other White background,White,Controlled drugs,Suspect arrested,,,1,2017,6,2,POINT (-0.228821 51.590709),239.0,240.0,E01000244,Barnet 032D,18293.0,6.0,573826.639297485,7078.93659219137,E01000244
291770,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,25-34,Black/African/Caribbean/Black British - African,Black,Controlled drugs,Suspect arrested,,,1,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
291775,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
292423,Person search,0.0,,51.576637,-0.239038,Male,,Other ethnic group - Not stated,Other,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
292440,Person search,0.0,,51.576637,-0.239038,Male,10-17,Other ethnic group - Any other ethnic group,Other,Controlled drugs,Suspect arrested,,,1,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
292518,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,18-24,Asian/Asian British - Any other Asian background,Other,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
292519,Person search,0.0,,51.576637,-0.239038,Male,,Other ethnic group - Not stated,Other,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
293370,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,Offender given penalty notice,,,1,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
293385,Vehicle search,0.0,,51.576637,-0.239038,,,,,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
294276,Person and Vehicle search,0.0,,51.601192,-0.234045,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
295119,Person search,0.0,,51.582939,-0.22703,Male,18-24,White - Any other White background,White,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
295709,Person search,0.0,,51.57701,-0.226785,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Other,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.226785 51.57701),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
296496,Person search,0.0,,51.585631,-0.230794,Male,18-24,White - Irish,White,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
296497,Person search,0.0,,51.585631,-0.230794,Male,10-17,White - Any other White background,Other,Controlled drugs,Nothing found - no further action,,,0,2017,6,2,POINT (-0.230794 51.585631),304.0,305.0,E01000309,Barnet 031D,20046.0,7.0,745335.344039917,4383.89608689771,E01000309
297009,Person search,0.0,,51.582939,-0.22703,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
297010,Person search,0.0,,51.582939,-0.22703,Male,,Other ethnic group - Not stated,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,6,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
298197,Person search,0.0,,51.589714,-0.228441,Male,18-24,Other ethnic group - Any other ethnic group,Asian,Articles for use in criminal damage,Suspect arrested,,,1,2017,6,2,POINT (-0.228441 51.589714),234.0,235.0,E01000239,Barnet 031A,13120.0,4.0,1121637.79927063,7129.27458479399,E01000239
299228,Person search,0.0,,51.572489,-0.234133,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,Offender given drugs possession warning,,,1,2017,6,2,POINT (-0.234133 51.572489),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
299651,Person and Vehicle search,0.0,,51.575385,-0.220426,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,6,2,POINT (-0.220426 51.575385),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
300512,Person search,0.0,,51.573794,-0.230604,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Suspect summonsed to court,,,1,2017,7,2,POINT (-0.230604 51.573794),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
300514,Person search,0.0,,51.5756,-0.228095,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.228095 51.5756),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
300669,Vehicle search,0.0,,51.572489,-0.234133,,,,,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,7,2,POINT (-0.234133 51.572489),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
301378,Person and Vehicle search,0.0,,51.57374,-0.238948,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,Offender given penalty notice,,,1,2017,7,2,POINT (-0.238948 51.57374),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
301765,Person search,0.0,,51.581098,-0.246313,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.246313 51.581098),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
302087,Person search,0.0,,51.586228,-0.220926,Male,over 34,Other ethnic group - Any other ethnic group,White,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
302208,Person search,0.0,,51.577757,-0.235776,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Articles for use in criminal damage,Suspect arrested,,,1,2017,7,2,POINT (-0.235776 51.577757),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
302209,Person search,0.0,,51.577757,-0.235776,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,7,2,POINT (-0.235776 51.577757),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
303064,Person and Vehicle search,0.0,,51.58937,-0.220601,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.220601 51.58937),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
303074,Person and Vehicle search,0.0,,51.58937,-0.220601,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.220601 51.58937),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
305120,Person search,0.0,,51.586228,-0.220926,Male,over 34,Other ethnic group - Not stated,Other,Articles for use in criminal damage,Suspect arrested,,,1,2017,7,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
306669,Person search,0.0,,51.573671,-0.225991,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,7,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
307629,Person and Vehicle search,0.0,,51.574388,-0.227074,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,Offender given drugs possession warning,,,1,2017,7,2,POINT (-0.227074 51.574388),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
307887,Person and Vehicle search,0.0,,51.581098,-0.246313,Male,25-34,White - Any other White background,White,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.246313 51.581098),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
308451,Person search,0.0,,51.576637,-0.239038,Male,,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
308465,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,25-34,Black/African/Caribbean/Black British - African,Black,Controlled drugs,Nothing found - no further action,,,0,2017,7,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
308556,Person search,0.0,,51.586228,-0.220926,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,7,2,POINT (-0.220926 51.586228),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
313324,Person search,0.0,,51.587853,-0.219578,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.219578 51.587853),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
313747,Person and Vehicle search,0.0,,51.580224,-0.243186,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,8,2,POINT (-0.243186 51.580224),308.0,309.0,E01000313,Barnet 036F,14409.0,5.0,561841.417999268,5210.28681705047,E01000313
314277,Person and Vehicle search,0.0,,51.587853,-0.219578,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.219578 51.587853),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
314278,Person search,0.0,,51.587278,-0.2196,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.2196 51.587278),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
314636,Person and Vehicle search,0.0,,51.588376,-0.218489,Male,25-34,Mixed/Multiple ethnic groups - White and Black African,Black,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.218489 51.588376),240.0,241.0,E01000245,Barnet 032E,11312.0,4.0,466002.454406738,4260.11884529648,E01000245
314907,Person search,0.0,,51.590288,-0.22123,Male,,Other ethnic group - Not stated,Black,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
316240,Person and Vehicle search,0.0,,51.577713,-0.241262,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.241262 51.577713),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
316242,Person and Vehicle search,0.0,,51.577713,-0.241262,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.241262 51.577713),303.0,304.0,E01000308,Barnet 036D,7151.0,3.0,1364094.1416626,7445.11114516892,E01000308
318212,Person search,0.0,,51.582107,-0.213048,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,8,2,POINT (-0.213048 51.582107),231.0,232.0,E01000236,Barnet 034A,23808.0,8.0,589603.116470337,3638.41217587178,E01000236
321819,Vehicle search,0.0,,51.586767,-0.210858,Male,over 34,White - Any other White background,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,8,2,POINT (-0.210858 51.586767),231.0,232.0,E01000236,Barnet 034A,23808.0,8.0,589603.116470337,3638.41217587178,E01000236
322278,Person search,0.0,,51.595279,-0.217108,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,Nothing found - no further action,,,0,2017,8,2,POINT (-0.217108 51.595279),237.0,238.0,E01000242,Barnet 032B,15111.0,5.0,714757.449935913,4001.55201576834,E01000242
323686,Person search,0.0,,51.577607,-0.218737,Female,over 34,Asian/Asian British - Chinese,Asian,Articles for use in criminal damage,Offender given penalty notice,,,1,2017,9,3,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
323713,Person search,0.0,,51.577607,-0.218737,Female,25-34,White - Any other White background,White,Controlled drugs,Nothing found - no further action,,,0,2017,9,3,POINT (-0.218737 51.577607),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
323724,Person search,0.0,,51.593685,-0.224663,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,9,3,POINT (-0.224663 51.593685),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
325035,Person search,0.0,,51.58937,-0.220601,Male,over 34,Other ethnic group - Not stated,Black,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,9,3,POINT (-0.220601 51.58937),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
325940,Person and Vehicle search,0.0,,51.583129,-0.22353,Male,10-17,White - Any other White background,White,Controlled drugs,Nothing found - no further action,,,0,2017,9,3,POINT (-0.22353 51.583129),306.0,307.0,E01000311,Barnet 034D,23246.0,8.0,876697.655136108,4465.06515640905,E01000311
326209,Person and Vehicle search,0.0,,51.590288,-0.22123,Male,25-34,Black/African/Caribbean/Black British - African,Black,Controlled drugs,Nothing found - no further action,,,0,2017,9,3,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
326597,Person search,0.0,,51.601192,-0.234045,Male,25-34,Other ethnic group - Not stated,Asian,Controlled drugs,Local resolution,,,1,2017,9,3,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
327166,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Controlled drugs,Offender given drugs possession warning,,,1,2017,9,3,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
328264,Person search,0.0,,51.580224,-0.243186,Male,18-24,White - Any other White background,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,9,3,POINT (-0.243186 51.580224),308.0,309.0,E01000313,Barnet 036F,14409.0,5.0,561841.417999268,5210.28681705047,E01000313
328265,Person search,0.0,,51.580224,-0.243186,Male,18-24,Other ethnic group - Any other ethnic group,White,Articles for use in criminal damage,Nothing found - no further action,,,0,2017,9,3,POINT (-0.243186 51.580224),308.0,309.0,E01000313,Barnet 036F,14409.0,5.0,561841.417999268,5210.28681705047,E01000313
